#20180912.log
# POSIX time = time + baseTime
# baseTime = 0
time	H2O	delta18O	deltaD
1536583050	16790	-13.16	-118.62
1536583055	16698	-12.72	-118.72
1536583061	16660	-13.49	-118.46
1536583066	16667	-13.72	-118.37
1536583072	16643	-11.48	-116.09
1536583078	16669	-13.12	-119.30
1536583083	16693	-13.77	-116.90
1536583088	16692	-13.02	-118.57
1536583093	16723	-13.41	-117.65
1536583098	16720	-13.30	-118.00
1536583103	16723	-13.69	-118.01
1536583108	16719	-14.00	-117.74
1536583113	16702	-14.48	-118.21
1536583118	16707	-13.92	-118.14
1536583123	16721	-14.15	-118.06
1536583128	16722	-14.33	-117.38
1536583133	16701	-14.30	-117.55
1536583138	16636	-14.38	-117.82
1536583143	16587	-14.21	-117.80
1536583148	16562	-14.32	-116.28
1536583153	16518	-14.22	-117.09
1536583158	16514	-14.18	-116.76
1536583163	16494	-14.47	-118.22
1536583168	16513	-14.23	-118.47
1536583173	16488	-14.47	-118.20
1536583178	16429	-14.31	-117.02
1536583183	16384	-14.34	-118.18
1536583188	16297	-14.20	-118.32
1536583193	16217	-14.45	-117.90
1536583198	16119	-14.48	-118.13
1536583203	16074	-14.54	-118.75
1536583208	16054	-14.28	-118.19
1536583213	15998	-14.56	-119.22
1536583218	15969	-14.58	-117.86
1536583223	15996	-14.34	-118.99
1536583228	16051	-14.67	-117.39
1536583233	16110	-14.48	-118.20
1536583238	16110	-14.36	-117.79
1536583243	16105	-14.66	-118.61
1536583248	16108	-14.58	-118.18
1536583253	16115	-14.19	-117.83
1536583258	16141	-14.65	-117.52
1536583263	16174	-14.35	-117.80
1536583268	16175	-14.62	-117.72
1536583273	16152	-14.27	-118.30
1536583278	16136	-14.23	-116.99
1536583283	16184	-14.55	-118.38
1536583288	16229	-14.01	-117.32
1536583293	16276	-13.94	-116.85
1536583298	16302	-14.47	-117.07
1536583303	16311	-14.58	-117.50
1536583308	16315	-13.99	-117.11
1536583313	16370	-14.31	-118.66
1536583318	16413	-14.07	-116.45
1536583323	16447	-14.07	-118.26
1536583328	16453	-14.13	-117.40
1536583333	16428	-14.53	-116.43
1536583338	16347	-14.40	-117.27
1536583343	16262	-14.23	-118.28
1536583348	16244	-13.83	-118.04
1536583353	16233	-14.48	-116.76
1536583358	16250	-14.14	-118.73
1536583363	16247	-14.02	-117.69
1536583368	16169	-13.84	-117.87
1536583373	15998	-14.44	-118.37
1536583378	15945	-14.31	-117.89
1536583383	15970	-14.45	-118.23
1536583388	15961	-14.24	-116.99
1536583393	16009	-14.40	-118.21
1536583398	16004	-14.46	-117.68
1536583403	16027	-14.28	-117.35
1536583408	16019	-13.94	-119.11
1536583413	15986	-14.66	-116.92
1536583418	16001	-14.40	-117.21
1536583423	15983	-14.60	-118.96
1536583428	15992	-14.23	-118.01
1536583433	16002	-13.80	-117.36
1536583438	16054	-14.59	-117.44
1536583443	16138	-14.02	-116.97
1536583448	16185	-14.24	-116.73
1536583453	16205	-14.10	-117.80
1536583458	16249	-14.05	-116.76
1536583463	16273	-14.19	-116.55
1536583468	16302	-14.23	-117.31
1536583473	16328	-14.24	-117.43
1536583478	16353	-13.93	-117.20
1536583483	16377	-13.90	-116.09
1536583488	16386	-13.62	-117.99
1536583493	16380	-14.08	-118.27
